#id  , devaddr , scr_addr, vol, bomba, aero, aerorele, p1,p2,p3,p4,p5, v1,v2,v3,v4,v5,v6,v7,v8, vol1,vol2, ph, temp, high,low, emergency
BIOR06,46:3A7D80,66:FA12F4,2000,D35,A3,D27,D22,D23,D24,D25,D26,D28,D29,D30,D31,D32,D33,D34,D37,C1,C2,C3,C4,D39,D40,D38
BIOR05,EA:2DE6B4,FF:FFFFFF,2000,D35,A3,D27,D22,D23,D24,D25,D26,D28,D29,D30,D31,D32,D33,D34,D37,C1,C2,C3,C4,D39,D40,D38
BIOR04,F8:A2CFF4,FF:FFFFFF,2000,D35,A3,D27,D22,D23,D24,D25,D26,D28,D29,D30,D31,D32,D33,D34,D37,C1,C2,C3,C4,D39,D40,D38
BIOR03,2E:2DE6B4,FF:FFFFFF,2000,D35,A3,D27,D22,D23,D24,D25,D26,D28,D29,D30,D31,D32,D33,D34,D37,C1,C2,C3,C4,D39,D40,D38
BIOR02,5F:ABF498,FF:FFFFFF,2000,D35,A3,D27,D22,D23,D24,D25,D26,D28,D29,D30,D31,D32,D33,D34,D37,C1,C2,C3,C4,D39,D40,D38
BIOR01,CC:B5AA8C,77:188534,2000,D35,A3,D27,D22,D23,D24,D25,D26,D28,D29,D30,D31,D32,D33,D34,D37,C1,C2,C3,C4,D39,D40,D38
